City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,20.19999999999999,64,40,6.26,PT,1684949654
1,ushuaia,-54.8,-68.3,4.789999999999964,75,75,4.63,AR,1684949654
2,yellowknife,62.456,-114.3525,11.269999999999982,76,75,3.6,CA,1684949659
3,mana,5.6592,-53.7767,28.180000000000007,81,87,4.03,GF,1684949659
4,petropavlovsk-kamchatsky,53.0452,158.6483,-0.6899999999999977,93,0,1.0,RU,1684949467
5,invercargill,-46.4,168.35,10.479999999999961,88,91,3.22,NZ,1684949660
6,nova sintra,14.8667,-24.7167,19.899999999999977,83,99,9.12,CV,1684949660
7,adamstown,-25.066,-130.1015,24.129999999999995,72,84,4.39,PN,1684949660
8,merizo village,13.2658,144.6691,26.289999999999964,94,100,30.58,GU,1684949660
9,tazovsky,67.4667,78.7,-1.1000000000000227,94,7,1.78,RU,1684949660
10,port-aux-francais,-49.35,70.2167,7.46999999999997,99,100,4.72,TF,1684949661
11,egilsstadir,65.2653,-14.3948,8.930000000000007,37,75,10.29,IS,1684949661
12,tanout,14.9709,8.8879,37.68000000000001,13,75,3.91,NE,1684949661
13,vilyuysk,63.7553,121.6247,1.8700000000000045,64,37,2.28,RU,1684949661
14,edinburgh of the seven seas,-37.0676,-12.3116,13.759999999999991,68,78,5.82,SH,1684949661
15,talnakh,69.4865,88.3972,-9.360000000000014,95,25,0.57,RU,1684949661
16,waitangi,-43.9535,-176.5597,11.089999999999975,57,33,5.72,NZ,1684949661
17,kudahuvadhoo,2.6708,72.8944,28.55000000000001,74,47,3.59,MV,1684949667
18,codrington,-38.2667,141.9667,15.039999999999964,49,60,8.43,AU,1684949667
19,iskateley,67.6803,53.1512,15.800000000000011,74,71,3.67,RU,1684949667
20,ryazhsk,53.7038,40.1109,16.930000000000007,86,69,1.72,RU,1684949667
21,bima,-8.4667,118.7167,23.21999999999997,95,28,1.84,ID,1684949667
22,hithadhoo,-0.6,73.0833,28.439999999999998,75,100,3.93,MV,1684949667
23,blackmans bay,-43.0167,147.3167,15.939999999999998,57,100,6.27,AU,1684949668
24,kingston,17.997,-76.7936,31.779999999999973,68,20,4.12,JM,1684949585
25,grytviken,-54.2811,-36.5092,0.6699999999999591,67,69,5.36,GS,1684949668
26,collierville,35.042,-89.6645,27.599999999999966,54,20,4.12,US,1684949528
27,sabang,5.8933,95.3214,28.870000000000005,76,49,6.57,ID,1684949668
28,estes park,40.3772,-105.5217,17.0,50,95,1.79,US,1684949416
29,pimentel,-6.8367,-79.9342,28.139999999999986,57,75,6.17,PE,1684949669
30,tamandare,-8.7597,-35.1047,25.91999999999996,89,18,2.9,BR,1684949669
31,bikenibeu village,1.3673,173.1241,25.20999999999998,87,100,1.22,KI,1684949669
32,albany,42.6001,-73.9662,24.24000000000001,54,43,4.38,US,1684949223
33,puerto ayora,-0.7393,-90.3518,27.50999999999999,87,41,3.58,EC,1684949671
34,chonchi,-42.6128,-73.8092,7.539999999999964,81,100,4.13,CL,1684949671
35,papao,-17.75,-149.55,24.80000000000001,76,9,1.81,PF,1684949671
36,okhotsk,59.3833,143.3,0.7799999999999727,97,100,2.47,RU,1684949671
37,cienfuegos,22.1461,-80.4356,29.060000000000002,74,75,4.63,CU,1684949672
38,fort st. john,56.2499,-120.8529,11.919999999999959,82,75,5.14,CA,1684949672
39,nikolayevsk-on-amure,53.1406,140.73,6.3700000000000045,98,100,1.03,RU,1684949672
40,saint-joseph,-21.3667,55.6167,22.189999999999998,88,79,1.97,RE,1684949672
41,tiksi,71.6872,128.8694,-10.610000000000014,100,36,0.95,RU,1684949672
42,badger,64.8,-147.5333,14.120000000000005,55,75,0.0,US,1684949673
43,brisas de zicatela,15.8369,-97.0419,32.26999999999998,66,75,4.12,MX,1684949673
44,mount isa,-20.7333,139.5,9.849999999999966,71,40,0.0,AU,1684949462
45,ilulissat,69.2167,-51.1,1.990000000000009,48,75,3.09,GL,1684949673
46,susuman,62.7833,148.1667,-1.1000000000000227,85,36,2.02,RU,1684949683
47,margaret river,-33.95,115.0667,14.069999999999993,69,80,5.13,AU,1684949684
48,lompoc,34.6391,-120.4579,17.639999999999986,79,100,4.02,US,1684949684
49,carnarvon,-24.8667,113.6333,19.569999999999993,81,67,8.19,AU,1684949684
50,lata,40.1629,-8.3327,21.539999999999964,50,73,2.54,PT,1684949684
51,colonia,50.9333,6.95,15.45999999999998,60,0,3.09,DE,1684949607
52,mount pearl,47.5166,-52.7813,12.449999999999989,68,20,3.09,CA,1684949684
53,alofi,-19.0595,-169.9187,23.91999999999996,83,83,2.06,NU,1684949684
54,pacific grove,36.6177,-121.9166,14.099999999999966,80,100,3.6,US,1684949685
55,sao mateus do maranhao,-4.0417,-44.475,29.20999999999998,72,41,2.57,BR,1684949565
56,puerto natales,-51.7236,-72.4875,5.229999999999961,65,75,1.03,CL,1684949685
57,rio grande,-32.035,-52.0986,28.039999999999964,61,43,3.31,BR,1684949685
58,polyarnyy,69.1989,33.4478,14.979999999999961,56,96,11.1,RU,1684949685
59,sao vicente,-23.9631,-46.3919,29.079999999999984,73,75,2.72,BR,1684949685
60,hasaki,35.7333,140.8333,12.879999999999995,62,39,1.06,JP,1684949685
61,olonkinbyen,70.9221,-8.7187,-1.6999999999999886,93,100,18.02,SJ,1684949685
62,benghazi,32.1167,20.0667,20.649999999999977,75,0,11.59,LY,1684949686
63,khandyga,62.6667,135.6,1.2099999999999795,82,70,1.32,RU,1684949686
64,fale old settlement,-9.3852,-171.2468,27.289999999999964,79,65,2.85,TK,1684949686
65,mahibadhoo,3.7833,72.9667,28.859999999999957,74,37,3.59,MV,1684949686
66,xilin hot,43.9667,116.0333,13.939999999999998,55,100,7.94,CN,1684949686
67,brooks,50.5834,-111.8851,12.96999999999997,71,99,6.17,CA,1684949498
68,kapa'a,22.0752,-159.319,25.159999999999968,82,20,6.69,US,1684949686
69,sitka,57.0531,-135.33,8.919999999999959,87,75,1.54,US,1684949687
70,baise city,23.8997,106.6133,24.44999999999999,93,98,1.34,CN,1684949687
71,tchintabaraden,15.8969,5.7985,38.599999999999966,11,5,3.68,NE,1684949687
72,buala,-8.145,159.5921,26.769999999999982,85,55,2.83,SB,1684949687
73,cidreira,-30.1811,-50.2056,22.55000000000001,75,31,4.64,BR,1684949687
74,tal,35.4791,72.2439,12.319999999999993,70,57,3.49,PK,1684949687
75,kapoeta,4.7717,33.5903,27.539999999999964,55,89,2.54,SS,1684949687
76,taoudenni,22.6783,-3.9836,31.370000000000005,19,99,9.53,ML,1684949687
77,alice springs,-23.7,133.8833,4.729999999999961,70,0,2.16,AU,1684949688
78,bethel,41.3712,-73.414,25.45999999999998,52,0,2.06,US,1684949688
79,seshcha,53.7361,33.3387,14.800000000000011,88,13,2.27,RU,1684949688
80,lazaro cardenas,17.9583,-102.2,30.859999999999957,58,99,4.28,MX,1684949688
81,winnemucca,40.973,-117.7357,19.00999999999999,42,0,3.3,US,1684949604
82,avarua,-21.2078,-159.775,25.00999999999999,73,75,5.14,CK,1684949688
83,urumqi,43.801,87.6005,18.50999999999999,32,0,2.0,CN,1684949688
84,tura,25.5198,90.2201,22.74000000000001,77,8,1.7,IN,1684949689
85,port mathurin,-19.6833,63.4167,25.0,68,2,6.52,MU,1684949689
86,praia da vitoria,38.7333,-27.0667,18.120000000000005,82,75,4.89,PT,1684949689
87,bam,29.106,58.357,30.94999999999999,16,53,2.41,IR,1684949689
88,strezhevoy,60.7333,77.5889,8.560000000000002,50,97,2.59,RU,1684949689
89,greenville,35.6127,-77.3663,23.389999999999986,47,75,3.09,US,1684949426
90,barra de santo antonio,-9.4047,-35.5072,26.579999999999984,81,17,4.65,BR,1684949689
91,bietigheim,48.9092,8.252,17.30000000000001,43,0,5.14,DE,1684949690
92,coquimbo,-29.9533,-71.3436,18.829999999999984,63,0,5.66,CL,1684949395
93,cooma,-36.2333,149.1333,6.6200000000000045,59,87,3.52,AU,1684949691
94,gaspe,48.8334,-64.4819,15.099999999999966,55,100,7.72,CA,1684949586
95,saipan,15.1355,145.701,24.370000000000005,94,100,11.83,MP,1684949692
96,broome,42.2506,-75.833,23.189999999999998,54,75,4.63,US,1684949692
97,port elizabeth,-33.918,25.5701,18.139999999999986,71,0,3.6,ZA,1684949692
98,vyatskiye polyany,56.226,51.0656,18.149999999999977,55,42,2.55,RU,1684949692
99,ca mau,9.1769,105.15,27.370000000000005,83,27,1.58,VN,1684949692
100,clacton-on-sea,51.7897,1.156,17.370000000000005,78,93,1.79,GB,1684949693
101,kashmar,35.2383,58.4656,27.95999999999998,23,20,2.06,IR,1684949694
102,namdrik,5.5994,168.1028,25.94999999999999,87,100,7.87,MH,1684949694
103,papatowai,-46.5619,169.4708,10.339999999999975,88,88,1.86,NZ,1684949694
104,ketchikan,55.3422,-131.6461,13.240000000000009,54,100,2.06,US,1684949598
105,isafjordur,66.0755,-23.124,5.0,60,100,5.14,IS,1684949694
106,iqaluit,63.7506,-68.5145,-2.170000000000016,86,100,2.57,CA,1684949695
107,meadow lakes,61.6247,-149.6011,10.680000000000007,74,100,2.06,US,1684949695
108,as sulayyil,20.4607,45.5779,34.120000000000005,19,42,3.5,SA,1684949695
109,sambava,-14.2667,50.1667,21.139999999999986,100,34,1.06,MG,1684949695
110,acapulco de juarez,16.8634,-99.8901,30.879999999999995,66,0,4.12,MX,1684949691
111,kocakoy,38.2903,40.5025,16.75,44,1,2.02,TR,1684949695
112,orchard homes,46.8633,-114.0484,19.019999999999982,56,20,1.79,US,1684949695
113,thompson,55.7435,-97.8558,14.069999999999993,38,75,4.12,CA,1684949696
114,georgetown,5.4112,100.3354,28.94999999999999,79,20,0.0,MY,1684949547
115,custodia,-8.0875,-37.6431,32.329999999999984,32,6,4.4,BR,1684949696
116,keflavik,64.0049,-22.5624,8.21999999999997,57,40,14.4,IS,1684949696
117,dudinka,69.4058,86.1778,-0.6299999999999955,92,99,1.44,RU,1684949696
118,leh,34.1667,77.5833,8.609999999999957,60,91,2.1,IN,1684949696
119,whitehorse,60.7161,-135.0538,11.149999999999977,56,75,6.17,CA,1684949430
